Namee;Def
network;"A collection of two or more computers interconnected by telephone lines, coaxial cables, satellite links, radio, and/or some other communication technique. A computer ""network"" is a group of computers which are connected together and which communicate with one another for a common purpose. Computer networks support ""people and organization"" networks, users who also share a common purpose for communicating."
nickname;A name that can be used in place of an e-mail address. Same as alias.
node;A member of a network or a point where one or more functional units interconnect transmission lines. A VAX is a node on a DECnet.
noise;Undesirable signals bearing no desired information and frequently capable of introducing errors into the communication process.
object;An entity consisting of attributes (such as color and size) stored as data and behaviors or functions (such as draw and move) that manipulate the attribute data. It is capable of interacting with other objects. As defined by OMG: encapsulation of the attributes, relationships, and methods of software-identifiable program components. Complete and reusable pieces of data or applications. Essentially packets of program code wrapped with data that behave like things in the real world.
object-based;Supports the concept of the object and the use of messages to communicate between the objects.
object code;Output from a compiler or assembler that is itself executable machine code or is suitable for processing to produce executable machine code.
object-oriented;Supports the concepts of objects, encapsulation, message passing, dynamic binding and inheritance.
object-oriented technology;A collection of languages, tools, environments and methodologies aimed at supporting development of software applications centered around interrelated, interacting objects.
OLE;Object Linking and Embedding. A Microsoft approach that allows data from one OLE application to be placed in any document of another OLE application in such a way that you can edit the object using the first application's capabilities without leaving the second application. With OLE2.0 you can move data using drag and drop within and between documents and applications. OLE automation provides a cross-platform infrastructure that allows one application to control another.
off-line;Not connected to a network. You can save money on pay-for-use networks by preparing your messages off-line using your word-processing software, and uploading them instead of typing them in while you're connected to (or on-line with) the network.
on-line;Active and prepared for operation. Also suggests access to a computer network. Connected to a network or via a network. Examples: Send me a message on-line. In other words, send me an e-mail message.
Online Service;Commercial online services like America Online, CompuServe, and Prodigy enable their users to send and receive Internet E-Mail, although they don't yet offer access to most other Internet services.
open;Under open systems, unencumbered specifications are freely available, independent branding and certification processes exist, multiple implementations of a single product may be created and competition is enhanced.
open platform;A national Internetnetwork that would allow citizens the ability to access, create, and publish information.
open system;A system that implements sufficiently open specifications for interfaces, services and supporting formats to enable properly-engineered applications software to be ported with minimal changes across a wide range of systems, to interoperate with other applications on local and remote systems, and to interact with users in a style that facilitates user portability.
OSI;Open Systems Interconnect. An international standard suite of protocols defined by International Standards Organization, that implements the OSI reference model for network communications between computers.
OpenWindows;A windowing environment from Sun Microsystems based on X-windows and NeWS.
operating system;"software that controls the basic, low-level hardware operations, and file management. It is provides the link between the user and the hardware. Popular operating systems include: DOS, MacOS, VMS, VM, MVS, UNIX, and OS/2. (Note that ""Windows 3.x"" is not an operating system as such, since in must have DOS to work. )"
output;Information retrieved from a computer, displayed by a computer or produced by a program running on a computer.
packet;Basic component of communication over a network. A group of bits of fixed maximum size and well-defined format that is switched and transmitted as a complete whole through a network. It contains source and destination address, data and control information. See also frame.
parameter;A variable, or quantity that can assume any of a given set of values, of which there are two kinds: formal and actual. (See argument.)
parity;Data has even or odd parity if the number of 1 bits is even or odd. A parity bit is a bit added to data to make the parity always even or odd. A parity bit may be used for detection of errors in RAM as well as in data transmitted through noisy communications channels. A parity error is detected when data that is supposed to be even parity is not, or vice versa.
password;A string of characters that a program, computer operator, or user must supply to meet security requirements before gaining access.
peripheral;Anything extra or added on for your computer, such as a modem, a mouse, or a fax adapter. Peripherals can be added on externally or installed inside the machine.
PC;Personal Computer. An IBM or IBM clone personal computer (Microcomputer) that is used by one person, as opposed to a Macintosh.
Physical Layer;The first layer of the OSI reference model. It governs hardware connections and byte-stream encoding for transmission.
ping;Packet Internet Groper. Probably originally contrived to match the submariners term for a sonar pulse. n. Slang term for a small network message (ICMP ECHO) sent by a computer to check for the presence and aliveness of another. v. To verify the presence of. To get the attention of.
pixel;Picture Element. In computer graphics, the smallest element of a display space that can be independently assigned color or intensity.
platform;Hardware environment that supports the running of a computer system.
plotter;An output device for translating information from a computer into pictorial or graphical form on paper or a similar medium.
polymorphism;A technique for generalizing a single behavior across many kinds of objects. It simplifies software design, since a programmer need only specify an action or behavior (such as draw) and elaborate on how it is implemented (for example, line or ellipse).
port;That portion of a computer through which a peripheral device may communicate. Often identified with the various plug-in jacks on the back of your computer. On a network hub, it is the connector that receives the wire link from a node.
portable;"In computer usage, a file or program is ""portable"" if it can be used by a variety of software on a variety of hardware platforms. Numeric data files written as plain character format files are fairly portable."
post;"The act of placing a message in an on-line conference. The noun ""posting"" is sometimes used to refer to a conference message."
PostScript;A language defined by Adobe Systems, Inc. for describing how to create an image on a page. The description is independent of the resolution of the device that will actually create the image. It includes a technology for defining the shape of a font and creating a raster image at many different resolutions and sizes.
Power PC;A RISC CPU chip designed by IBM and Apple and manufactured by Motorola. It features a 32/64 bit implementation and full binary compatibility with the IBM RS/6000. Four models are planned: 601, 603, 604,and 620. The 601 borrows its basic architecture from the Model 200 RS/6000. It adopts the internal bus structure of the Motorola 88100 and the construction plans from the 0.5 micron chip fabrication techniques used by the Model 970 RS/6000. The 603 is an entry-level device targeted toward embedded applications and low power consumption uses such as notebooks and low-end workstations. The 604 is a second-generation version of the 601.
Presentation layer;The sixth layer of the OSI reference model. It lets an application interpret the data being transferred.
printer;An output device that converts the coded information from the processor into a readable form on paper.
printout;The printed output of a computer.
procedure;A portion of a high-level language program that performs a specific task.
process;"A systematic sequence of operations to produce a specified result; a unique, finite course of events defined by its purpose or by its effect and achieved under given conditions. As a verb, to perform operations on data in a process. Also an address space and the code executing in it."
program;A set of actions or instructions that a machine is capable of interpreting and executing. Used as a verb, to design, write and test such instructions.
programmer;A person who designs, write and tests computer programs.
programming;A notation for the precise description of computer programs or algorithms. Programming language languages are artificial languages in which the syntax and semantics are strictly defined.
prompt;A character or message provided by an operating system or program to indicate that it is ready to accept input.
protocol;An agreement that governs the procedures used to exchange information between cooperating entities and usually includes how much information is to be sent, how often it is sent, how to recover from transmission errors and who is to receive the information.
public domain;"Not protected by copyright; you may freely make copies and distribute them; you may make derivative works."
quality;It is meeting your own specifications and meeting your customers expectations. It is also concerned with doing the right things and doing things right.
query;A request that specifies the manner in which data is to be extracted from one or more databases.
queue;A sequence of stored computer data or programs awaiting processing that are processed in the order first-in first-out (FIFO).
quit;Ends the work without writing out a new file or new version of the exiting work file unless there is a save that interrupts before dumping the session.
RAID;Redundant Array of Inexpensive Disks. A way of creating a fault-tolerant storage system. There are 6 levels. Level 0 uses byte-level striping. Level 1 uses mirroring. Level 2 uses bit-level striping. Level 3 stores error correcting information (such as parity) on a separate disk, and uses data striping on the remaining drives. Level 4 is level 3 with block level striping. Level 5 uses block level and parity data striping.
RAM;Random Access Memory. Memory in which each element can be individually addressed and accessed with the same speed as any other element of the memory. The main memory of a computer is usually RAM. One of the earliest forms of RAM was called core, because it consisted of directly addressed doughnuts or cores of ferromagnetic material each of which represented one bit. A faster more recent form of RAM is called Dynamic RAM.
random access;Differs from direct access by the fact that each element can be accessed with the same ease and speed as any other.
Re-engineering;The circular process of going from code to models then back to code that might be in a different language, use a different DBMS or be more structured.
read;To sense and retrieve or interpret data from a form of storage or input medium.
read/write;A magnetic mechanism that can read, write and erase data encoded as polarized patterns on magnetic disk or tape.
realtime;The processing of transactions as they occur rather than batching them. Pertaining to an application in which response to input is fast enough to affect subsequent inputs and guide the process and in which records are updated immediately. The lag from input time to output time must be sufficiently small for acceptable timeliness. Timeliness is a function of the total system: missile guidance requires output within a few milliseconds of input, scheduling of steamships requires response time in days. Realtime systems are those with response time of milliseconds, interactive system in seconds and batch system in hours or days.
record;A collection of related data or words, treated as a unit. For example, in stock control, each invoice could constitute one record.
record length;"Depending on the context, the length in bytes (i.e., columns) of a physical record or a logical record . On ICPSR Tape Information Forms and on CDNet, the abbreviation ""RecLen"" is used for physical record length."
record type;A record that has a consistent logical structure. In files that include different units of analysis, for instance, different record types are needed to hold the different variables. For example, one record type might have a variable for income in one column and another record type might have a variable for household size in that same column. The codebook will describe these different structures and how to determine which is which so that you can tell your statistical software how to interpret that particular column as income or household size.
recovery;The process by which data bases are rebuilt after a system fails.
rectangular file;A physical file structure. A rectangular file is one which contains the same number of card-images or the same physical record length for each respondent or unit of analysis . A Hierarchical file can be stored in a rectangular file structure by storing all units of analysis in a single physical record . For instance, each record might contain one household unit, two family units, and four person units for each family unit. This method of storage of hierarchical files can be very inefficient in terms of storage space, but can make the file easier to describe and work with.
reel tape;One-half inch magnetic tape stored on round reels. Also called Round Tape.
relational database;An organization of data into tables with each column containing the values of a data element and each row representing a record.
relational structure;"A study that includes different units of analysis, particularly when those units are not arranged in a strict hierarchy as they are in a hierarchical file, has a relational structure. Note that the data could be arranged in several different physical structures to handle such a data structure. For instance, each unit of analysis might be stored in a separate rectangular file with identification numbers linking each case to the other units; or, the different units of analysis might be stored in one large file with a hierarchical file structure; or the different units could be stored in a special database structure used by a relational data base management system such as INGRES. An example of a study with a relational structure is the Survey of Income and Program Participation which has eight or more record types; these record types are related to each other but are not all members of a hierarchy of membership. For instance, there are record types for household, family, person, wage and salary job, and general income amounts."
remote;Equipment or site that is located out of the way or at a distance from primary equipment or a larger or primary site. Sometimes used as the opposite of local.
remote access;The ability to access a computer from outside a building in which it is housed. Remote access requires communications hardware, software, and actual physical links, although this can be as simple as common carrier (telephone) lines or as complex as TELNET login to another computer across the Internet.
resource;An on-line information set or an on-line interactive option. An on-line library catalog or the local school lunch menu are examples of information sets. On-line menus or graphical user interfaces, Internet e-mail, on-line conferences, telnet, FTP, and Gopher are examples of interactive options.
response;"A message placed in a conference as a follow-up to a topic or to another response; or, a reply to an e-mail message."
retiming;A function of a repeater or Ethernet hub that receives a signal, cleans and regenerates it, and then sends it.
return key;The key on a terminal keyboard that, when struck, places the cursor at the left margin one line below its previous horizontal position.
reuse and reuseability;An approach to software engineering that emphasizes reusing software assets, including designs and code, and building software assets likely to be reuseable in future applications.
reverse engineering;The process of going from the more concrete level of code to the more abstract level of models for data and processes.
ROM;Read-only memory. Information is stored once, usually by the manufacturer, that cannot be changed. Most compact discs are ROM.
root directory;The directory that contains all other directories.
router;A device connecting separate networks that forwards a packet from one network to another based only on the network address for the protocol being used. For example, an IP router looks only at the IP network number.
routine;Part of a computer program, or a sequence of instructions called by a program, that may have some general or frequent use.
routing;The process of finding a path over which a packet can travel to reach its destination.
run;The single, continuous execution of a program by a computer on a given set of data. As a verb, to initiate processing by a program.
scanner;A device that senses alterations of light and dark.
scheduling;An automated capability to schedule meetings and/or resources (such as meeting rooms, projectors, etc.) by looking at online calendars.
screen;The surface of a monitor on which information can be viewed.
screen editor;A program that allows a file to be edited by making changes to the text displayed on the screen. It may also support commands to make changes to the whole file at once. Changes to the portion displayed on the screen are immediately shown.
scroll;To move all or part of the display image vertically or horizontally to view data otherwise excluded. Scrolling can be performed with a mouse in the horizontal/vertical bars on each window or by using the page up/down - home/end - or arrow keys.
segment;A section of network wiring. Segments are connected by repeaters, bridges or routers.
sequential;A method of storing and retrieving information that requires data to be written and read sequentially. Accessing any portion of the data requires reading all the preceding data.
server;A computer that shares its resources, such as printers and files, with other computers on the network. An example of this is a Network Files System Server which shares its disk space with a workstation that does not have a disk drive of its own.
service (or service provider);An organization that provides access to part of the Internet. You have to arrange for an account with a service to connect your computer to the Internet.
session;Networking term used to refer to the logical stream of data flowing between two programs and being communicated over a network. There may be many different sessions emanating from any one node on a network.
Session Layer;The fifth layer of the OSI reference model, it provides the means for two session service users to organize and synchronize their dialogs and manage data exchange.
shareware;"Protected by copyright; holder allows you to make and distribute copies under the condition that those who adopt the software after preview pay a fee to the holder of the copyright; derivative works are not allowed; you may make an archival copy."
shell;A term that usually refers to the user interface of an operating system. A shell is the command processor that is the actual interface between the kernel and the user. The C shell or the Bourne shell are the primary user interfaces on UNIX systems. Contrasts with the kernel, which interacts with the computer at low levels.
simulation;An imitation of the behavior of some existing or intended system, or some aspect of that behavior. Examples of areas where simulation is used include communications network design, weather forecasting and training. Physical systems can also be simulated, for example, chemical or nuclear reactions.
smiley;"Character combinations such as :-) to denote whether a message is being made in jest with various modifications thereof ;-) to wink, etc. Also called emoticons, since not all are smiling %-( ."
soft copy;"An electronic version of a file, usually in computer memory and/or on disk; as opposed to hard copy, the paper printout."
software;Computer programs that perform various tasks. Word processing programs (like WordPerfect or Microsoft Word), spreadsheet programs (like Lotus or Excel), or database programs (like dBase III+, Foxbase, or FileMaker) are all software.
software tool;A program that is employed in the development, repair or enhancement of other programs. Tools include editors, compilers and linkers. Also refers to utilities, such as formatters and file utilities.
sort;"To arrange a set of items in sequence according to keys; for example, to arrange the records of a personnel file into alphabetical order by using the employee names as sort keys."
source code;The program in a language prepared by the programmer. This code cannot be directly executed by the computer and must first be translated into object code.
SPARC;Scalable Processor ARChitecture. Trademark of SunMicrosystems 32-bit RISC microprocessor architecture. The architecture is open in the sense that other vendors can obtain the processor chips and documentation sufficient to build computers using it.
SPARCstation;A workstation (usually a Sun Microsystems brand) based on the SPARC chip.
sponge;A job that runs in the background on the IBM 3090 mainframe computer in such a way that it uses only those CPU cycles not needed by other work, yet is so computationally intense that it soaks up all unused CPU cycles.
spool;Simultaneous Peripheral Operations On-Line. A scheme that allows multiple devices to simultaneously write output to the same device such as multiple computers printing to the same printer at the same time. The data are actually written to temporary files while a program called a spooler sends the files to the device one at a time.
spreadsheet;Software program that allows mathematical calculations, such as budgeting, keeping track of investments, or tracking grades.
SQL;Structured Query Language. ANSI standard data manipulation language used in most relational data base systems. A language for requesting data from a relational database.
storage;A device or medium that can retain data for subsequent retrieval.
strategy;long-term plan, tactic, or scheme for attaining a vision.
string;A sequence of characters.
striping;Disk striping copies blocks, bytes or bits across multiple disks in such a way that if one disk is lost, the data can be created using the blocks or bits on the remaining disks.
Sun Microsystems;Sun originally stood for Stanford University Network, a name given to a printed circuit board developed in 1981 that was designed to run UNIX.
SunOS;The name of the operating system of the workstation from Sun Microsystems. It is based on Berkeley UNIX and AT&Ts System V UNIX. It is composed of three major parts: the kernel and file system, shells and graphical interfaces, and utility programs.
surfing;Netspeak for wandering, whether one is surfing through cable stations or surfing the Internet.
tape density;A measure of how much data, can fit on a magnetic tape.
task;A separately dispatchable function on a computer.
TCP/IP;Transmission Control Protocol/INTERNET Protocol. The communication protocols on which the Internet is based.
TEAM;Together Everyone Accomplishes More
telecommunication;Communicating with other people through the computer using communication software and modems.
telecomputing;"Using computers for telecommunication; computer networking."
TELNET;A program that allows users on the Internet to log in to remote systems from their own host system.
terminal;A device connected to a computer network that acts as a point for entry or retrieval of information. Personal computers can be made to act as network terminals, by running terminal emulation (communication) programs.
terminal emulation;Most communications software packages will permit a personal computer or workstation to communicate with another computer or network as if it were a specific type of hardware terminal.
terminal server;A device that allows asynchronous devices such as terminals to select and then communicate with hosts or other devices over a network.
terabyte;1,099,551,627,776 bytes, often used to mean one trillion bytes (1,000,000,000,000).
text;A string of characters. A text file should contain only characters - as opposed to codes or commands.
time out;What happens when two computers are talking and one fails to respond within a certain time, for whatever reason.
time series.;Observations of a variable made over time. Many economic studies such as International Financial Statistics, and Citibase are time series datafiles. Time series, of a sort, can also be constructed from a cross sectional study if the same questions are asked more than once over time.
TN3270;A version of TELNET providing IBM full-screen support.
toggle;Using one command or keystroke to change between one mode and its opposite.
token ring;A LAN and protocol in which nodes are connected together in a ring and communication is controlled by a special packet called a token that is passed from node to node around the ring. A node can send data only when it receives the token and the token is not in use. Data is sent by attaching it to the token. The receiving node removes the data from the token.
topic;In a conference, a message which is generally written to convey a new idea or a new piece of information, relevant to that conference.
transfer;To copy or move information from one computer to another.
Transport Layer;The fourth layer of the OSI reference model. It provides transparent, reliable and cost-effective transfer of data.
tree;A way of organizing information with general categories at the top, subcategories below, and narrower subcategories on a further level.
UNIX;A popular computer software operating system used on many Internet host systems.
upload;To transfer information from a users system to a remote system. Opposite of download.
URL;Uniform Resource Locater. A scheme used to locate a document accessible over the Internet.
Usenet;"The network of UNIX users, generally perceived as informal and made up of loosely coupled nodes that exchange mail and messages. Started by Duke University and UNC-Chapel Hill. An information cooperative linking around 16,000 computer sites and about 1 million people. Usenet provides a series of ""news groups"" analogous to on-line conferences."
user;Anyone who uses a computer connected to the Internet.
user-friendly;A system or program that relatively untrained users can interact with easily.
userid;A code that uniquely identifies a user and then provides access privileges to a computer system.
username;Account name or user ID.
utility;A specialized program that performs a frequently required everyday task such as sorting, report program generation, or file updating.
variable;In social science research, for each unit of analysis , each item of data (e.g., age of person, income of family, consumer price index) is called a variable.
vision;A future-oriented statement of where you want to be, of what you want things to be like.
virtual;Pertaining to a device or facility that does not physically exist, yet behaves as if it does. For example, a system with 4 megabytes of virtual memory may have only one megabyte of physical memory plus additional (slower and cheaper) auxiliary memory. Yet programs written as if 4 megabytes of physical memory were available will run correctly.
virtual terminal;A program that makes a general purpose computer behave like a terminal.
VMS;Virtual Memory System. An operating system for the VAX and Alpha computers of Digital Equipment Corporation.
virus;"A program that can make a copy of itself without you necessarily being aware of it; some viruses can destroy or damage files, and generally the best protection is to always maintain backups of your files"
volume;A physical unit of a storage medium, such as tape reel or disk pack, that is capable of having data recorded on it and subsequently read. Also refers to a contiguous collection of cylinders or blocks on a disk that are treated as a separate unit.
wavelength;The length of one complete electromagnetic wave, measured usually from crest to crest or trough to trough of successive vibrations.
whois;The name of the nickname database that contains full name, postal address, telephone number, and network mailbox for registered users. Also the name of the local command to access this database, and the name of the protocol used by this command (RFC-954) that is now an elective draft standard.
window;A rectangular area on a display screen in which part of an image or file is displayed. The window can be any size up to that of the screen and more than one window can be displayed at once.
Windows;A trademark of Microsoft Corporation for a software product that provides an environment for a graphical user interface for DOS and DOS applications.
word processor;"A program used to enter or edit text information in personal computers, often used to create a file before it is uploaded to a network; may also be used to process text after it has been downloaded."
wordwrap;An editor feature that causes a word that will not fit on a line to be moved in its entirety to the next line rather than be split at the right margin.
work space;Disk space made available to the system to provide temporary storage space for files too large to fit within a users permanent disk storage quota or for files not needed beyond a single run of a program or set of programs.
workstation;A general purpose computer that is small enough and inexpensive enough to reside at a persons work area for his or her exclusive use. It includes microcomputers such as Macintosh, and PCs running DOS, as well as high-performance desktop and deskside computers.
write;"To record data in a storage device, a data medium, or an output display. To save information, especially files, to a disk, to replace old data with new and permit later access from within a software package; the complement of read."
WWW;World Wide Web. A wide-area hypermedia information retrieval technology that interconnects information around the world. It allows you to travel through the information by clicking on hyperlinks that can point to any document anywhere on the Internet. Originated at CERN and collaborated upon by a large, informal, and international design and development team, WWW allows links inside and between documents, plus pointers to FTP sites, news, telnet sessions, gopher sites, and WAIS databases.
X window system;A standard for controlling the display on a bitmapped terminal. X-windows normally uses a network connection, and unlike the typical terminal connection, multiple applications possibly on different computers can use the display simultaneously in different windows.
X-term;An X-windows client that provides a window for terminal emulation.
